rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202005017058090,LIVST,,23:30,,,23:30,,,,,,,,,false,,,23:29,,
202005017058090,BTHNLGR,,,,23:33,,,,,,,false,,,,,23:32,,,
202005017058090,BOWJ,,,,23:35,,,,,,,false,,,,,23:34,,,
202005017058090,STFD,,23:38,23:37:30,,23:38:30,,,false,,,,,,false,23:36,,23:38,,
202005017058090,MRYLAND,,,,23:40,,,,,,,false,,,,,23:38,,,
202005017058090,FRSTGTJ,,,,23:41,,,,,,,false,,,,,23:39,,,
202005017058090,MANRPK,,,,23:41:30,,,,,23:40,,false,,,,,,,,
202005017058090,ILFORD,,,,23:42:30,,,,,,,false,,,,,23:41,,,
202005017058090,SVNKNGS,,,,23:43,,,,,,,false,,,,,23:42,,,
202005017058090,GODMAYS,,,,23:43:30,,,,,,,false,,,,,23:42,,,
202005017058090,CHDWLHT,,,,23:44,,,,,,,false,,,,,23:43,,,
202005017058090,ROMFORD,,,,23:46,,,,,,,false,,,,,23:45,,,
202005017058090,GIDEAPK,,,,23:47,,,,,,,false,,,,,23:45,,,
202005017058090,HRLDWOD,,,,23:48,,,,,,,false,,,,,23:47,,,
202005017058090,BRTWOOD,,,,23:51,,,,,,,false,,,,,23:49,,,
202005017058090,SHENFLD,,,,23:53:30,,,,,,,false,,,,,23:51,,,
202005017058090,CHLMSFD,00:02,00:03,00:02,,00:03,,,false,,,,,,false,23:58,,00:02,,
202005017058090,WITHAME,,,,00:11,,,,,,,false,,,,,00:10,,,
202005017058090,MRKSTEY,,,,00:16,,,,,,,false,,,,,00:14,,,
202005017058090,CLCHSTR,00:22,00:23,00:21:30,,00:23:30,,,false,,,,,,false,00:18,,00:22,,
202005017058090,MANNGTR,00:31,00:32,00:31,,00:32,,,false,,,,,,false,00:29,,00:31,,
202005017058090,IPSWHJN,,,,00:40,,,,,,,false,,,,,00:38,,,
202005017058090,IPSWICH,00:42,00:44,00:42,,00:44,,,false,,,,,,false,00:40,,00:43,,
202005017058090,IPSWESJ,,,,00:45:30,,,,,,,false,,,,,00:45,,,
202005017058090,IPSWEPJ,,,,00:46:30,,,,,00:46,,false,,,,,,,,
202005017058090,STWMRKT,00:54,00:55,00:54,,00:55:30,,,false,,,,,,false,00:53,,00:53,,
202005017058090,HAGHLYJ,,,,00:58:30,,,,,,,false,,,,,00:57,,,
202005017058090,DISS,01:07,01:08,01:07,,01:08:30,,,false,,,,,,false,01:05,,01:07,,
202005017058090,TROWSEJ,,,,01:24:30,,,,,,,false,,,,,01:20,,,
202005017058090,TRWSSBJ,,,,01:26:30,,,,,,,false,,,,,01:21,,,
