rid,tpl,pta,ptd,wta,wtp,wtd,arr_et,arr_wet,arr_atRemoved,pass_et,pass_wet,pass_atRemoved,dep_et,dep_wet,dep_atRemoved,arr_at,pass_at,dep_at,cr_code,lr_code
202103016741086,LIVST,,23:30,,,23:30,,,,,,,,,false,,,23:29,,
202103016741086,BTHNLGR,,,,23:33,,,,,,,false,,,,,23:32,,,
202103016741086,BOWJ,,,,23:35,,,,,,,false,,,,,23:34,,,
202103016741086,STFD,,23:38,23:37:30,,23:38:30,,,false,,,,,,false,23:36,,23:38,,
202103016741086,MRYLAND,,,,23:40,,,,,,,false,,,,,23:38,,,
202103016741086,FRSTGTJ,,,,23:41,,,,,,,false,,,,,23:39,,,
202103016741086,ILFORD,,,,23:42:30,,,,,,,false,,,,,23:40,,,
202103016741086,MANRPK,,,,23:41:30,,,,,23:40,,false,,,,,,,,
202103016741086,SVNKNGS,,,,23:43,,,,,,,false,,,,,23:41,,,
202103016741086,GODMAYS,,,,23:43:30,,,,,,,false,,,,,23:42,,,
202103016741086,CHDWLHT,,,,23:44,,,,,,,false,,,,,23:42,,,
202103016741086,GIDEAPK,,,,23:47,,,,,,,false,,,,,23:45,,,
202103016741086,ROMFORD,,,,23:46,,,,,,,false,,,,,23:45,,,
202103016741086,HRLDWOD,,,,23:48,,,,,,,false,,,,,23:47,,,
202103016741086,BRTWOOD,,,,23:51,,,,,,,false,,,,,23:49,,,
202103016741086,SHENFLD,,,,23:53:30,,,,,,,false,,,,,23:50,,,
202103016741086,CHLMSFD,00:02,00:03,00:02,,00:03:30,,,false,,,,,,false,23:58,,00:02,,
202103016741086,WITHAME,,,,00:11:30,,,,,,,false,,,,,00:10,,,
202103016741086,MRKSTEY,,,,00:16:30,,,,,,,false,,,,,00:15,,,
202103016741086,CLCHSTR,00:22,00:23,00:22,,00:24,,,false,,,,,,false,00:20,,00:22,,
202103016741086,MANNGTR,00:31,00:32,00:31:30,,00:33:30,,,false,,,,,,false,00:30,,00:32,,
202103016741086,IPSWHJN,,,,00:41:30,,,,,,,false,,,,,00:39,,,
202103016741086,IPSWICH,00:44,00:45,00:43:30,,00:45:30,,,false,,,,,,false,00:41,,00:44,,
202103016741086,IPSWESJ,,,,00:47,,,,,,,false,,,,,00:46,,,
202103016741086,IPSWEPJ,,,,00:48,,,,,,,false,,,,,00:47,,,
202103016741086,STWMRKT,00:56,00:57,00:55:30,,00:57:30,,,false,,,,,,false,00:54,,00:55,,
202103016741086,HAGHLYJ,,,,01:00:30,,,,,,,false,,,,,00:59,,,
202103016741086,DISS,01:09,01:11,01:09,,01:11,,,false,,,,,,false,01:07,,01:10,,
202103016741086,TROWSEJ,,,,01:33,,,,,,,false,,,,,01:24,,,
202103016741086,TRWSSBJ,,,,01:34,,,,,01:25,,false,,,,,,,,
202103016741086,NRCHTPJ,,,,01:34:30,,,,,,,false,,,,,01:25,,,
202103016741086,NRCH,01:36,,01:36,,,,,false,,,,,,,01:26,,,,
202103017171025,LIVST,,06:25,,,06:25,,,,,,,,,false,,,06:24,,
202103017171025,BTHNLGR,,,,06:28,,,,,,,false,,,,,06:27,,,
202103017171025,BOWJ,,,,06:30,,,,,,,false,,,,,06:29,,,
202103017171025,STFD,,06:33,06:32:30,,06:33:30,,,false,,,,,,false,06:31,,06:32,,
202103017171025,MRYLAND,,,,06:35,,,,,,,false,,,,,06:33,,,
202103017171025,FRSTGTJ,,,,06:36,,,,,,,false,,,,,06:35,,,
202103017171025,MANRPK,,,,06:36:30,,,,,06:35,,false,,,,,,,,
202103017171025,ILFORD,,,,06:37:30,,,,,,,false,,,,,06:36,,,
202103017171025,SVNKNGS,,,,06:38,,,,,,,false,,,,,06:37,,,
202103017171025,GODMAYS,,,,06:38:30,,,,,,,false,,,,,06:37,,,
202103017171025,CHDWLHT,,,,06:39,,,,,,,false,,,,,06:38,,,
202103017171025,GIDEAPK,,,,06:42,,,,,,,false,,,,,06:40,,,
202103017171025,ROMFORD,,,,06:41,,,,,,,false,,,,,06:40,,,
202103017171025,HRLDWOD,,,,06:43,,,,,,,false,,,,,06:42,,,
202103017171025,BRTWOOD,,,,06:46,,,,,,,false,,,,,06:45,,,
202103017171025,SHENFLD,,,,06:48:30,,,,,,,false,,,,,06:46,,,
202103017171025,CHLMSFD,06:57,06:58,06:57,,06:58:30,,,false,,,,,,false,06:56,,06:58,,
